timestamp,cpu_pct,mem_used_gb,mem_total_gb,mem_pct,mem_free_pct
2026-06-30 07:27:16.459444,6.9,13.349475860595703,15.23360824584961,87.6,12.400000000000006
2026-06-30 07:27:19.460568,14.4,13.357551574707031,15.23360824584961,87.7,12.299999999999997
2026-06-30 07:27:22.461694,4.9,13.360767364501953,15.23360824584961,87.7,12.299999999999997
2026-06-30 07:27:25.462868,18.3,13.393234252929688,15.23360824584961,87.9,12.099999999999994
2026-06-30 07:27:28.463944,12.2,13.51431655883789,15.23360824584961,88.7,11.299999999999997
2026-06-30 07:27:31.465241,9.9,13.674507141113281,15.23360824584961,89.8,10.200000000000003
2026-06-30 07:27:34.466104,22.5,13.4068603515625,15.23360824584961,88.0,12.0
2026-06-30 07:27:37.467410,21.2,13.559215545654297,15.23360824584961,89.0,11.0
2026-06-30 07:27:40.468778,14.9,13.615852355957031,15.23360824584961,89.4,10.599999999999994
2026-06-30 07:27:43.471007,15.0,13.563270568847656,15.23360824584961,89.0,11.0
2026-06-30 07:27:46.472404,17.3,13.550987243652344,15.23360824584961,89.0,11.0
2026-06-30 07:27:49.474120,26.3,13.535820007324219,15.23360824584961,88.9,11.099999999999994
2026-06-30 07:27:52.475381,25.6,13.504013061523438,15.23360824584961,88.6,11.400000000000006
2026-06-30 07:27:55.477096,24.9,13.542083740234375,15.23360824584961,88.9,11.099999999999994
2026-06-30 07:27:58.478268,32.4,13.445747375488281,15.23360824584961,88.3,11.700000000000003
2026-06-30 07:28:01.479548,19.2,12.84213638305664,15.23360824584961,84.3,15.700000000000003
2026-06-30 07:28:04.480734,12.9,12.786064147949219,15.23360824584961,83.9,16.099999999999994
2026-06-30 07:28:07.481881,35.4,12.861347198486328,15.23360824584961,84.4,15.599999999999994
2026-06-30 07:28:10.483650,25.3,13.17926025390625,15.23360824584961,86.5,13.5
2026-06-30 07:28:13.485296,25.2,13.69186019897461,15.23360824584961,89.9,10.099999999999994
2026-06-30 07:28:16.487337,49.6,13.953529357910156,15.23360824584961,91.6,8.400000000000006
2026-06-30 07:28:19.493789,18.6,13.990242004394531,15.23360824584961,91.8,8.200000000000003
2026-06-30 07:28:22.495362,25.9,14.071784973144531,15.23360824584961,92.4,7.599999999999994
2026-06-30 07:28:25.496944,42.0,14.232925415039062,15.23360824584961,93.4,6.599999999999994
2026-06-30 07:28:28.498313,46.4,14.320808410644531,15.23360824584961,94.0,6.0
2026-06-30 07:28:31.500556,73.7,14.3505859375,15.23360824584961,94.2,5.799999999999997
2026-06-30 07:28:34.502982,53.2,14.575531005859375,15.23360824584961,95.7,4.299999999999997
2026-06-30 07:28:37.505482,33.3,14.302734375,15.23360824584961,93.9,6.099999999999994
2026-06-30 07:28:40.506813,18.2,13.186019897460938,15.23360824584961,86.6,13.400000000000006
2026-06-30 07:28:43.507922,10.9,13.13955307006836,15.23360824584961,86.3,13.700000000000003
2026-06-30 07:28:46.509007,18.0,13.267086029052734,15.23360824584961,87.1,12.900000000000006
2026-06-30 07:28:49.509853,22.3,13.098686218261719,15.23360824584961,86.0,14.0
2026-06-30 07:28:52.511128,23.7,13.391456604003906,15.23360824584961,87.9,12.099999999999994
2026-06-30 07:28:55.512394,14.6,13.427043914794922,15.23360824584961,88.1,11.900000000000006
2026-06-30 07:28:58.513494,15.5,13.380149841308594,15.23360824584961,87.8,12.200000000000003
2026-06-30 07:29:01.514913,21.4,13.38409423828125,15.23360824584961,87.9,12.099999999999994
2026-06-30 07:29:04.515451,17.9,13.435882568359375,15.23360824584961,88.2,11.799999999999997
2026-06-30 07:29:07.516891,21.2,13.44720458984375,15.23360824584961,88.3,11.700000000000003
2026-06-30 07:29:10.518554,32.5,13.519763946533203,15.23360824584961,88.7,11.299999999999997
2026-06-30 07:29:13.520246,44.3,14.023693084716797,15.23360824584961,92.1,7.900000000000006
